1	7.0913983431085e+15
2	9.78869584608844e+15
3	7.57460485054348e+15
4	1.14050382049419e+16
5	1.26463563221154e+16
6	1.10448075927198e+16
7	6.24257505288461e+15
8	7.38808398445596e+15
9	1.18490364498731e+16
10	5.18408962053571e+15
11	1.25050952617187e+16
12	5.94457534294872e+15
13	1.28171380984848e+16
14	1.05670785685484e+16
15	1.09898798501712e+16
16	1.76104191371681e+16
17	9.5036388547486e+15
18	8.18375294407894e+15
19	1.44778876919087e+16
20	1.00044828222656e+16
21	1.0708751127451e+16
22	1.13549922209821e+16
23	1.18999128172348e+16
24	1.58150130416667e+16
25	7.4293388698083e+15
26	1.11677577246544e+16
27	9.07383619791668e+15
28	9.88755375801282e+15
29	1.05149248339483e+16
30	1.4467500726461e+16
31	7.49986280927836e+15
32	6.30516501824819e+15
33	9.08308306216933e+15
34	9.55029273148148e+15
35	1.01983603148148e+16
36	6.76419708996814e+15
37	1.24446656046196e+16
38	1.2992139215886e+16
